player_name,injury_type,injury_date,recovery_days,clearance_date,current_fitness_status
Shreyas Iyer,Recurring lower-back disc bulge,2023-03-12,166,2023-08-25,Active
KL Rahul,Right quadricep tendon tear,2023-05-01,126,2023-09-04,Active
Jasprit Bumrah,Severe back stress fracture,2022-09-25,319,2023-08-10,Active
Deepak Chahar,High-grade hamstring tear & back injury,2022-02-20,181,2022-08-20,Active
Prasidh Krishna,Lumbar spine stress fracture,2022-12-18,230,2023-08-05,Active
Rishabh Pant,Multiple ligament tears (ACL/PCL/MCL),2022-12-30,438,2024-03-12,Active
Hardik Pandya,High-grade ankle ligament damage,2023-10-19,143,2024-03-10,Active
Mohammed Shami,Severe right heel/ankle chronic tendon injury,2023-11-19,352,2024-11-05,Active
Devon Conway,Left thumb injury (Surgery),2024-02-23,95,2024-05-28,Active
Harry Brook,Recurring wrist fracture,2024-03-13,104,2024-06-25,Active
Mayank Yadav,Severe abdominal muscle tear,2024-04-07,174,2024-09-28,Active
Mark Wood,Persistent knee soreness,2024-02-15,95,2024-05-20,Active
Liam Livingstone,Severe hamstring pull,2024-04-11,44,2024-05-25,Active
Mujeeb Ur Rahman,High-grade right phalanx sprain,2024-02-10,112,2024-06-01,Active
Sandeep Sharma,Side strain,2024-03-28,21,2024-04-18,Active
Mustafizur Rahman,Severe calf cramps,2024-03-18,3,2024-03-21,Active
Dilshan Madushanka,Grade-2 hamstring tear,2024-03-15,70,2024-05-24,Active
Harshit Rana,Severe knee injury (Surgery),2026-02-04,115,2026-05-30,Recovered
Phil Salt,Finger fracture,2026-05-01,23,2026-05-24,Active
Khaleel Ahmed,Grade-2 hip/quadricep tear,2026-04-15,84,2026-07-08,In Rehab
Mitchell Starc,Shoulder and elbow joint structural damage,2026-01-15,105,2026-04-30,Active
Pat Cummins,Lumbar back stress fracture,2025-07-15,281,2026-04-22,Active
Jofra Archer,Right elbow stress fracture recurrence,2023-05-15,214,2023-12-15,Active
Nathan Ellis,High-grade hamstring tear,2026-03-19,72,2026-05-30,Active
Akash Deep,Lower-back stress injury,2026-03-10,180,2026-09-06,In Rehab
Sam Curran,Deep groin muscle tear,2026-03-01,120,2026-06-29,In Rehab
Jack Edwards,Severe foot bone structural injury,2026-03-14,230,2026-10-30,In Rehab
Josh Hazlewood,Achilles tendonitis & hamstring strain,2026-01-15,117,2026-05-12,Active
MS Dhoni,Acute calf muscle strain,2026-03-10,33,2026-04-12,Active
Matheesha Pathirana,High-grade calf strain,2026-02-15,62,2026-04-18,Active
Riyan Parag,Early-season hamstring strain,2026-04-12,48,2026-05-30,In Rehab
Kane Williamson,Anterior cruciate ligament (ACL) rupture,2023-03-31,168,2023-09-15,Active
